archivo,año_extraido,mes_extraido,dia,lluvia_mm
registro 05-2021.jpg,2021,Mayo,2,0.0
registro 05-2021.jpg,2021,Mayo,3,0.0
registro 05-2021.jpg,2021,Mayo,4,0.0
registro 05-2021.jpg,2021,Mayo,5,0.0
registro 05-2021.jpg,2021,Mayo,6,8.0
registro 05-2021.jpg,2021,Mayo,7,3.5
registro 05-2021.jpg,2021,Mayo,8,0.0
registro 05-2021.jpg,2021,Mayo,9,0.0
registro 05-2021.jpg,2021,Mayo,10,0.0
registro 05-2021.jpg,2021,Mayo,11,23.0
registro 05-2021.jpg,2021,Mayo,12,0.0
registro 05-2021.jpg,2021,Mayo,13,0.0
registro 05-2021.jpg,2021,Mayo,14,0.0
registro 05-2021.jpg,2021,Mayo,15,0.0
registro 05-2021.jpg,2021,Mayo,16,0.0
registro 05-2021.jpg,2021,Mayo,17,0.0
registro 05-2021.jpg,2021,Mayo,18,0.0
registro 05-2021.jpg,2021,Mayo,19,0.0
registro 05-2021.jpg,2021,Mayo,20,0.0
registro 05-2021.jpg,2021,Mayo,21,6.0
registro 05-2021.jpg,2021,Mayo,22,0.0
registro 05-2021.jpg,2021,Mayo,23,0.0
registro 05-2021.jpg,2021,Mayo,24,0.0
registro 05-2021.jpg,2021,Mayo,25,0.0
registro 05-2021.jpg,2021,Mayo,26,0.0
registro 05-2021.jpg,2021,Mayo,27,0.0
registro 05-2021.jpg,2021,Mayo,28,0.0
registro 05-2021.jpg,2021,Mayo,29,0.0
registro 05-2021.jpg,2021,Mayo,30,0.0
registro 05-2021.jpg,2021,Mayo,31,0.0
registro 06-2021.jpg,2021,Junio,1,0.0
registro 06-2021.jpg,2021,Junio,2,0.0
registro 06-2021.jpg,2021,Junio,3,20.0
registro 06-2021.jpg,2021,Junio,4,0.0
registro 06-2021.jpg,2021,Junio,5,0.0
registro 06-2021.jpg,2021,Junio,6,50.0
registro 06-2021.jpg,2021,Junio,7,10.0
registro 06-2021.jpg,2021,Junio,8,2.0
registro 06-2021.jpg,2021,Junio,9,2.0
registro 06-2021.jpg,2021,Junio,10,0.8
registro 06-2021.jpg,2021,Junio,11,0.0
registro 06-2021.jpg,2021,Junio,12,0.0
registro 06-2021.jpg,2021,Junio,13,0.0
registro 06-2021.jpg,2021,Junio,14,0.0
registro 06-2021.jpg,2021,Junio,15,0.0
registro 06-2021.jpg,2021,Junio,16,0.0
registro 06-2021.jpg,2021,Junio,17,0.0
registro 06-2021.jpg,2021,Junio,18,20.0
registro 06-2021.jpg,2021,Junio,19,11.0
registro 06-2021.jpg,2021,Junio,20,0.0
registro 06-2021.jpg,2021,Junio,21,2.5
registro 06-2021.jpg,2021,Junio,22,0.0
registro 06-2021.jpg,2021,Junio,23,0.0
registro 06-2021.jpg,2021,Junio,24,0.0
registro 06-2021.jpg,2021,Junio,25,7.0
registro 06-2021.jpg,2021,Junio,26,30.0
registro 06-2021.jpg,2021,Junio,27,2.5
registro 06-2021.jpg,2021,Junio,28,0.0
registro 06-2021.jpg,2021,Junio,29,0.0
registro 06-2021.jpg,2021,Junio,30,0.0
registro 06-2021.jpg,2021,Junio,31,0.0
registro 07-2021.jpg,2021,Julio,1,0.0
registro 07-2021.jpg,2021,Julio,2,0.0
registro 07-2021.jpg,2021,Julio,3,0.0
registro 07-2021.jpg,2021,Julio,4,0.0
registro 07-2021.jpg,2021,Julio,5,0.0
registro 07-2021.jpg,2021,Julio,6,0.0
registro 07-2021.jpg,2021,Julio,7,0.0
registro 07-2021.jpg,2021,Julio,8,0.0
registro 07-2021.jpg,2021,Julio,9,0.0
registro 07-2021.jpg,2021,Julio,10,0.0
registro 07-2021.jpg,2021,Julio,11,0.0
registro 07-2021.jpg,2021,Julio,12,0.0
registro 07-2021.jpg,2021,Julio,13,0.0
registro 07-2021.jpg,2021,Julio,14,0.0
registro 07-2021.jpg,2021,Julio,15,26.0
registro 07-2021.jpg,2021,Julio,16,7.0
registro 07-2021.jpg,2021,Julio,17,0.0
registro 07-2021.jpg,2021,Julio,18,0.0
registro 07-2021.jpg,2021,Julio,19,0.0
registro 07-2021.jpg,2021,Julio,20,0.0
registro 07-2021.jpg,2021,Julio,21,0.8
registro 07-2021.jpg,2021,Julio,22,0.0
registro 07-2021.jpg,2021,Julio,23,0.0
registro 07-2021.jpg,2021,Julio,24,0.0
registro 07-2021.jpg,2021,Julio,25,0.0
registro 07-2021.jpg,2021,Julio,26,0.0
registro 07-2021.jpg,2021,Julio,27,11.5
registro 07-2021.jpg,2021,Julio,28,0.0
registro 07-2021.jpg,2021,Julio,29,0.0
registro 07-2021.jpg,2021,Julio,30,0.0
registro 07-2021.jpg,2021,Julio,31,0.0
registro 08-2021.bmp,2021,Agosto,1,0.0
registro 08-2021.bmp,2021,Agosto,2,0.0
registro 08-2021.bmp,2021,Agosto,3,0.0
registro 08-2021.bmp,2021,Agosto,4,0.0
registro 08-2021.bmp,2021,Agosto,5,0.0
registro 08-2021.bmp,2021,Agosto,6,0.0
registro 08-2021.bmp,2021,Agosto,7,0.0
registro 08-2021.bmp,2021,Agosto,8,0.0
registro 08-2021.bmp,2021,Agosto,9,0.0
registro 08-2021.bmp,2021,Agosto,10,9.0
registro 08-2021.bmp,2021,Agosto,11,8.5
registro 08-2021.bmp,2021,Agosto,12,0.0
registro 08-2021.bmp,2021,Agosto,13,0.6
registro 08-2021.bmp,2021,Agosto,14,0.7
registro 08-2021.bmp,2021,Agosto,15,0.0
registro 08-2021.bmp,2021,Agosto,16,0.0
registro 08-2021.bmp,2021,Agosto,17,0.0
registro 08-2021.bmp,2021,Agosto,18,0.0
registro 08-2021.bmp,2021,Agosto,19,0.0
registro 08-2021.bmp,2021,Agosto,20,0.0
registro 08-2021.bmp,2021,Agosto,21,0.0
registro 08-2021.bmp,2021,Agosto,22,0.0
registro 08-2021.bmp,2021,Agosto,23,0.0
registro 08-2021.bmp,2021,Agosto,24,0.0
registro 08-2021.bmp,2021,Agosto,25,13.0
registro 08-2021.bmp,2021,Agosto,26,7.5
registro 08-2021.bmp,2021,Agosto,27,0.0
registro 08-2021.bmp,2021,Agosto,28,0.0
registro 08-2021.bmp,2021,Agosto,29,0.0
registro 08-2021.bmp,2021,Agosto,30,0.0
registro 08-2021.bmp,2021,Agosto,31,0.0
registro 09-2021.jpg,2021,Septiembre,1,0.0
registro 09-2021.jpg,2021,Septiembre,2,0.0
registro 09-2021.jpg,2021,Septiembre,3,0.0
registro 09-2021.jpg,2021,Septiembre,4,4.0
registro 09-2021.jpg,2021,Septiembre,5,16.2
registro 09-2021.jpg,2021,Septiembre,6,0.0
registro 09-2021.jpg,2021,Septiembre,7,0.0
registro 09-2021.jpg,2021,Septiembre,8,8.0
registro 09-2021.jpg,2021,Septiembre,9,2.5
registro 09-2021.jpg,2021,Septiembre,10,0.0
registro 09-2021.jpg,2021,Septiembre,11,0.0
registro 09-2021.jpg,2021,Septiembre,12,0.0
registro 09-2021.jpg,2021,Septiembre,13,0.0
registro 09-2021.jpg,2021,Septiembre,14,25.0
registro 09-2021.jpg,2021,Septiembre,15,2.3
registro 09-2021.jpg,2021,Septiembre,16,3.0
registro 09-2021.jpg,2021,Septiembre,17,13.0
registro 09-2021.jpg,2021,Septiembre,18,0.0
registro 09-2021.jpg,2021,Septiembre,19,0.0
registro 09-2021.jpg,2021,Septiembre,20,0.0
registro 09-2021.jpg,2021,Septiembre,21,0.0
registro 09-2021.jpg,2021,Septiembre,22,17.0
registro 09-2021.jpg,2021,Septiembre,23,0.0
registro 09-2021.jpg,2021,Septiembre,24,0.0
registro 09-2021.jpg,2021,Septiembre,25,0.0
registro 09-2021.jpg,2021,Septiembre,26,0.0
registro 09-2021.jpg,2021,Septiembre,27,0.0
registro 09-2021.jpg,2021,Septiembre,28,0.0
registro 09-2021.jpg,2021,Septiembre,29,0.0
registro 09-2021.jpg,2021,Septiembre,30,6.0
registro 09-2021.jpg,2021,Septiembre,31,0.0
registro 10-2021.jpg,2021,octubre,1,25.0
registro 10-2021.jpg,2021,octubre,2,5.0
registro 10-2021.jpg,2021,octubre,3,1.5
registro 10-2021.jpg,2021,octubre,4,32.0
registro 10-2021.jpg,2021,octubre,5,0.0
registro 10-2021.jpg,2021,octubre,6,0.0
registro 10-2021.jpg,2021,octubre,7,10.5
registro 10-2021.jpg,2021,octubre,8,0.0
registro 10-2021.jpg,2021,octubre,9,3.0
registro 10-2021.jpg,2021,octubre,10,11.0
registro 10-2021.jpg,2021,octubre,11,8.0
registro 10-2021.jpg,2021,octubre,12,0.0
registro 10-2021.jpg,2021,octubre,13,0.0
registro 10-2021.jpg,2021,octubre,14,35.0
registro 10-2021.jpg,2021,octubre,15,47.5
registro 10-2021.jpg,2021,octubre,16,11.5
registro 10-2021.jpg,2021,octubre,17,0.0
registro 10-2021.jpg,2021,octubre,18,0.0
registro 10-2021.jpg,2021,octubre,19,0.0
registro 10-2021.jpg,2021,octubre,20,0.0
registro 10-2021.jpg,2021,octubre,21,0.0
registro 10-2021.jpg,2021,octubre,22,0.0
registro 10-2021.jpg,2021,octubre,23,11.2
registro 10-2021.jpg,2021,octubre,24,57.3
registro 10-2021.jpg,2021,octubre,25,0.0
registro 10-2021.jpg,2021,octubre,26,0.0
registro 10-2021.jpg,2021,octubre,27,0.0
registro 10-2021.jpg,2021,octubre,28,0.0
registro 10-2021.jpg,2021,octubre,29,0.0
registro 10-2021.jpg,2021,octubre,30,0.5
registro 10-2021.jpg,2021,octubre,31,59.0
registro 11-2021.jpg,2021,Noviembre,1,0.0
registro 11-2021.jpg,2021,Noviembre,2,0.0
registro 11-2021.jpg,2021,Noviembre,3,0.0
registro 11-2021.jpg,2021,Noviembre,4,0.0
registro 11-2021.jpg,2021,Noviembre,5,0.0
registro 11-2021.jpg,2021,Noviembre,6,15.2
registro 11-2021.jpg,2021,Noviembre,7,0.0
registro 11-2021.jpg,2021,Noviembre,8,0.0
registro 11-2021.jpg,2021,Noviembre,9,0.0
registro 11-2021.jpg,2021,Noviembre,10,0.0
